ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
81294461,81336329,ALEX,INV,10/3/24,10/3/24,185.44,0,185.44,13.68,0,0,10/3/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/3/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,101.05,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),PL,155,155,81294461,1,0,1,54,81,PRIORITY PICK,
81294461,81336329,ALEX,INV,10/3/24,10/3/24,185.44,0,185.44,13.68,0,0,10/3/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/3/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,101.05,,P,0,,0,CP,MSDS Sheet 01,Rev#001 Date:06/16/00 Bin:   ,,0,0,81294461,2,0,0,0,81,PRIORITY PICK,
81294461,81336329,ALEX,INV,10/3/24,10/3/24,185.44,0,185.44,13.68,0,0,10/3/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/3/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,101.05,,P,0,,4,HAS-50-126,BT GAL,BOTTLE DEPOSIT,EA,1,4,81294461,3,0,4,1.6,81,PRIORITY PICK,
81294461,81336329,ALEX,INV,10/3/24,10/3/24,185.44,0,185.44,13.68,0,0,10/3/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/3/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,101.05,,P,0,,1,HAS-50-132,SHELL,DEPOSIT SHELL/ CHEMICAL CASE,EA,6,6,81294461,4,0,1,2.85,81,PRIORITY PICK,
81294461,81336329,ALEX,INV,10/3/24,10/3/24,185.44,0,185.44,13.68,0,0,10/3/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/3/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,101.05,,P,0,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,20.44,81294461,5,0,1,42.6,81,PRIORITY PICK,
81294461,81336329,ALEX,INV,10/3/24,10/3/24,185.44,0,185.44,13.68,0,0,10/3/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/3/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,101.05,,P,0,,0,CP,MSDS Sheet 174,Rev#    Date:05/03/11 Bin:   ,,0,0,81294461,6,0,0,0,81,PRIORITY PICK,
81294639,81336516,BLAKE,INV,10/4/24,10/4/24,229.98,0,229.98,17.94,0,0,10/4/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/4/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,140.8,,P,0,,1,EZC-50-2006,47247670 12/CS 672/PLT EZ CLOR,QT SUPER BLACK ALGAECIDE,BTL,26.5,26.5,81294639,1,0,1,3,81,PRIORITY PICK,
81294639,81336516,BLAKE,INV,10/4/24,10/4/24,229.98,0,229.98,17.94,0,0,10/4/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/4/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,140.8,,P,0,,0,CP,MSDS Sheet 174,Rev#    Date:05/03/11 Bin:   ,,0,0,81294639,2,0,0,0,81,PRIORITY PICK,
81294639,81336516,BLAKE,INV,10/4/24,10/4/24,229.98,0,229.98,17.94,0,0,10/4/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/4/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,140.8,,P,0,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,28.04,81294639,3,0,1,41.2,81,PRIORITY PICK,
81294639,81336516,BLAKE,INV,10/4/24,10/4/24,229.98,0,229.98,17.94,0,0,10/4/24,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/4/24,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,140.8,,P,0,,0,CP,MSDS Sheet 8A,Rev#  1 Date:         Bin:   ,,0,0,81294639,4,0,0,0,81,PRIORITY PICK,
