ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
DC239670,DC197360,,INV,11/01/2024,11/01/2024,188.48,0.00,188.48,15.27,0.00,0.00,11/01/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/01/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,54.4,,P,0.00,,1,SPG-101-2725,12725 50MFD 370V,ROUND RUN CAPACITOR,EA,33.48,33.48,DC239670,3,0,1,0.40,214,PRIORITY PICK,
DC239670,DC197360,,INV,11/01/2024,11/01/2024,188.48,0.00,188.48,15.27,0.00,0.00,11/01/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/01/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,54.4,,P,0.00,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),PL,155.00,155.00,DC239670,4,0,1,54.00,214,PRIORITY PICK,
DC239670,DC197360,,INV,11/01/2024,11/01/2024,188.48,0.00,188.48,15.27,0.00,0.00,11/01/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/01/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,54.4,,P,0.00,,0,CP,MSDS Sheet 01,"Rev#001 Date:06/16/00 Bin:   ",,0.00,0.00,DC239670,5,0,0,0.00,214,PRIORITY PICK,
DC239582,DC197290,JEREMIAH,INV,10/31/2024,10/31/2024,2.70,2.92,2.70,0.22,0.00,0.00,10/31/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/31/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,0.1,,P,0.00,No Preferred Carrier,2,SPG-601-1272,O-49-9 1.5&quot; UNION &,DIFFUSER ORING,EA,1.35,2.70,DC239582,1,0,2,0.10,214,PRIORITY PICK,
DC239526,DC197240,,INV,10/30/2024,10/30/2024,20.44,0.00,20.44,1.66,0.00,0.00,10/30/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/30/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,42.6,,P,0.00,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,20.44,DC239526,1,0,1,42.60,214,PRIORITY PICK,
DC239526,DC197240,,INV,10/30/2024,10/30/2024,20.44,0.00,20.44,1.66,0.00,0.00,10/30/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/30/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,42.6,,P,0.00,,0,CP,MSDS Sheet 174,"Rev#    Date:05/03/11 Bin:   ",,0.00,0.00,DC239526,2,0,0,0.00,214,PRIORITY PICK,
DC239525,DC197239,,INV,10/30/2024,10/30/2024,28.04,0.00,28.04,2.27,0.00,0.00,10/30/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/30/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,41.2,,P,0.00,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,28.04,DC239525,1,0,1,41.20,214,PRIORITY PICK,
DC239525,DC197239,,INV,10/30/2024,10/30/2024,28.04,0.00,28.04,2.27,0.00,0.00,10/30/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/30/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,41.2,,P,0.00,,0,CP,MSDS Sheet 8A,"Rev#  1 Date:         Bin:   ",,0.00,0.00,DC239525,2,0,0,0.00,214,PRIORITY PICK,
DC239514,DC197230,,INV,10/30/2024,10/30/2024,284.19,0.00,284.19,23.02,0.00,0.00,10/30/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/30/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,6,108,,P,0.00,,1,APB-50-856,406104A 4/CS,GAL SWIMTRINE PLUS,BTL,79.14,79.14,DC239514,1,0,1,10.95,214,PRIORITY PICK,
DC239514,DC197230,,INV,10/30/2024,10/30/2024,284.19,0.00,284.19,23.02,0.00,0.00,10/30/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,10/30/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,6,108,,P,0.00,,0,CP,MSDS Sheet 174,"Rev#    Date:05/03/11 Bin:   ",,0.00,0.00,DC239514,2,0,0,0.00,214,PRIORITY PICK,
