ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,CustomerPO,InvoiceDate,,,,,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
81303908,81345208,BLAKE,INV,1/16/25,1/16/25,-98.21,-106.36,-98.21,-8.15,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,12 - CTR: CHECK OK,2,1.24,,P,0,,1,HAY-051-1800,DEX2400S RELIEF VALVE &,GAUGE ADAPTER ASSY,BLAKE,1/16/25,Billable,Wood,,,EA,34.97,34.97,81303908,4,0,1,0.09,81,PRIORITY PICK,
81303908,81345208,BLAKE,INV,1/16/25,1/16/25,-98.21,-106.36,-98.21,-8.15,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,12 - CTR: CHECK OK,2,1.24,,P,0,,1,SPG-06-1005,83060BU 2&quot; 0-60PSI 0.25&quot; BTM,MOUNT STEEL PRESSURE GAUGE,BLAKE,1/16/25,Billable,Wood,,,EA,5.38,5.38,81303908,5,0,1,0.2,81,PRIORITY PICK,
81303908,81345208,BLAKE,INV,1/16/25,1/16/25,-98.21,-106.36,-98.21,-8.15,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,12 - CTR: CHECK OK,2,1.24,,P,0,,1,INT-30-660,156T1978A T100 SERIES,ON/OFF TRIPPER SET,BLAKE,1/16/25,Billable,,Return,,EA,7.32,7.32,81303908,3,0,1,0.05,81,PRIORITY PICK,
81303908,81345208,BLAKE,INV,1/16/25,1/16/25,-98.21,-106.36,-98.21,-8.15,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,12 - CTR: CHECK OK,2,1.24,,P,0,,1,EZC-50-2006,47247670 12/CS 672/PLT EZ CLOR,QT SUPER BLACK ALGAECIDE,BLAKE,1/16/25,Billable,,,,BTL,26.5,26.5,81303908,1,0,1,3,81,PRIORITY PICK,
DC243516,DC200571,JAMIE,INV,1/14/25,1/14/25,23.46,25.36,23.46,1.9,0,0,1/14/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/14/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,1,,P,0,No Preferred Carrier,1,CTM-251-0503,27182-009-000 HEAVY DUTY U-3,SKIMMER BASKET,JAMIE,1/14/25,Billable,Haug,,,EA,23.46,23.46,DC243516,2,0,1,1,214,PRIORITY PICK,
81303769,81345059,JAMIE,INV,1/15/25,1/15/25,313.11,0,313.11,25.99,0,0,1/15/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/15/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,141.05,,P,0,,1,ARN-201-1082,W560 STANDARD LEAF,CANISTER W/ BASKET,JAMIE,1/15/25,Billable,Pecot,,,EA,56.91,56.91,81303769,2,0,1,2.55,81,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,1,SPG-601-5005,GO-KIT5-9 PAC-FAB,CHALLENGER PUMP SEAL KIT,JAMIE,1/31/25,Billable,Jun,,,EA,31.52,31.52,DC244630,2,0,1,0.4,214,PRIORITY PICK,
81303769,81345059,JAMIE,INV,1/15/25,1/15/25,313.11,0,313.11,25.99,0,0,1/15/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/15/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,141.05,,P,0,,2,PSL-45-2020,PS2065 12/CS BLUE/WHITE,FLOATING DISPENSER 3&quot; TABS,JAMIE,1/15/25,Billable,Murphy,,,EA,9.32,18.64,81303769,1,0,2,1.2,81,PRIORITY PICK,
DC243722,DC200720,JAMIE,INV,1/16/25,1/16/25,11.53,12.46,11.53,0.93,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,0.15,,P,0,No Preferred Carrier,1,SDI-25-1000,3/8 ATF 3/8&quot;MPT PLASTIC,AUTOFILL FLOAT VALVE,JAMIE,1/16/25,Billable,Pickett,,,EA,9.37,9.37,DC243722,2,0,1,0.1,214,PRIORITY PICK,
DC243951,DC200885,JAMIE,INV,1/21/25,1/21/25,85.9,0,85.9,6.96,0,0,1/21/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/21/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,151.8,,P,0,,1,PSL-45-5005,PS690 12/CS BLUE/WHITE DELUXE,FLOATING CHEMICAL FEEDER,JAMIE,1/21/25,Billable,Pickett,,,EA,9.29,9.29,DC243951,5,0,1,0.6,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,1,LII-561-0528,528 KORKY QUIETFILL,FILL VALVE,JAMIE,1/31/25,Billable,Rendina,,,EA,9.54,9.54,DC244630,1,0,1,0.1,214,PRIORITY PICK,
81303769,81345059,JAMIE,INV,1/15/25,1/15/25,313.11,0,313.11,25.99,0,0,1/15/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/15/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,141.05,,P,0,,1,HAY-251-1895,SPX1070C10 TAN SP1070,SKIMMER LID,JAMIE,1/15/25,Billable,Soldo,,,EA,26.48,26.48,81303769,3,0,1,0.9,81,PRIORITY PICK,
DC243722,DC200720,JAMIE,INV,1/16/25,1/16/25,11.53,12.46,11.53,0.93,0,0,1/16/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/16/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,0.15,,P,0,No Preferred Carrier,1,TCE-56-600,TA-S520,.5&quot;x520' TEFLON TAPE,JAMIE,1/16/25,Billable,Rendina,,,EA,2.16,2.16,DC243722,1,0,1,0.05,214,PRIORITY PICK,
